vertex_1,vertex_2,cl_ID
5,16,21151
5,373,21151
16,373,21151
16,249,21372
4,5,21519
4,249,21519
5,249,21519
4,373,21722
4,374,21722
373,374,21722
5,374,21925
265,299,22166
265,302,22166
299,302,22166
65,302,22331
265,300,22534
265,301,22534
300,301,22534
65,299,22737
65,300,22737
299,300,22737
299,301,22940
65,301,23143
199,200,23391
199,201,23391
200,201,23391
200,202,23549
199,203,23763
5,199,23955
5,204,23955
199,204,23955
5,298,24215
5,202,24394
201,202,24564
201,203,24564
202,203,24564
202,204,24767
1,4,25016
1,44,25016
4,44,25016
5,44,25173
1,5,25422
1,250,25422
5,250,25422
1,16,25579
5,313,25849
5,314,25849
313,314,25849
16,250,26031
16,314,26031
250,314,26031
4,250,26235
4,313,26235
250,313,26235
16,313,26391
4,314,26594
91,132,26843
91,188,26843
132,188,26843
92,188,27000
30,32,27264
30,76,27264
32,76,27264
30,51,27461
52,76,27655
52,170,27655
76,170,27655
51,76,27812
51,169,27812
76,169,27812
51,170,28033
169,170,28243
42,52,28452
42,364,28452
52,364,28452
170,364,28624
42,170,28852
170,266,29030
170,267,29030
266,267,29030
52,266,29233
52,267,29436
212,213,29689
212,215,29689
213,215,29689
331,332,29880
331,333,29880
332,333,29880
332,334,30045
332,335,30045
334,335,30045
333,335,30248
331,335,30451
331,334,30654
333,334,30857
4,61,31092
4,165,31092
61,165,31092
4,164,31263
4,166,31263
164,166,31263
165,166,31466
61,166,31669
61,164,31872
164,165,32075
222,223,32310
222,225,32310
223,225,32310
212,224,32481
212,225,32481
224,225,32481
223,224,32684
222,224,32887
212,223,33090
212,222,33293
116,320,33531
116,321,33531
320,321,33531
318,319,33699
318,320,33699
319,320,33699
318,321,33902
319,321,34105
116,318,34308
116,319,34511
15,334,34747
15,366,34747
334,366,34747
15,367,34917
15,368,34917
367,368,34917
366,367,35120
366,368,35323
334,367,35526
334,368,35729
304,357,35966
304,358,35966
357,358,35966
60,304,36135
60,359,36135
304,359,36135
60,358,36338
357,359,36541
60,357,36744
358,359,36947
10,11,37151
10,12,37151
11,12,37151
9,12,37353
9,11,37556
9,10,37759
51,95,37964
51,337,37964
95,337,37964
308,337,38165
51,308,38368
95,308,38571
142,143,38775
142,144,38775
143,144,38775
143,145,38977
142,145,39180
144,145,39383
201,204,39588
201,245,39588
204,245,39588
204,298,39789
201,298,39992
245,298,40195
32,217,40398
32,218,40398
217,218,40398
216,218,40601
216,217,40804
32,216,41007
137,342,41210
137,343,41210
342,343,41210
8,343,41413
8,137,41616
8,342,41819
25,26,42025
25,28,42025
26,28,42025
27,28,42225
25,27,42428
26,27,42631
207,376,42842
207,377,42842
376,377,42842
375,377,43037
207,375,43240
375,376,43443
102,360,43653
102,361,43653
360,361,43653
280,361,43849
102,280,44052
280,360,44255
315,316,44472
315,317,44472
316,317,44472
26,317,44661
26,316,44864
26,315,45067
214,348,45322
214,350,45322
348,350,45322
303,378,45473
303,379,45473
378,379,45473
70,379,45676
70,378,45879
70,303,46084
70,329,46084
303,329,46084
328,329,46285
70,328,46488
303,328,46691
72,119,46947
72,303,46947
119,303,46947
40,240,47098
40,326,47098
240,326,47098
40,239,47300
239,326,47503
236,240,47736
236,257,47736
240,257,47736
66,100,47909
66,111,47909
100,111,47909
66,110,48112
110,111,48315
67,169,48518
67,248,48518
169,248,48518
122,169,48721
122,248,48924
67,121,49149
67,122,49149
121,122,49149
81,122,49330
81,123,49330
122,123,49330
121,123,49533
81,121,49736
67,123,49939
245,246,50153
245,247,50153
246,247,50153
236,245,50345
236,247,50548
82,83,50800
82,88,50800
83,88,50800
186,309,50975
186,310,50975
309,310,50975
184,185,51157
184,310,51157
185,310,51157
185,309,51360
184,309,51563
184,186,51766
184,187,51766
186,187,51766
185,187,51969
185,186,52172
127,128,52394
127,330,52394
128,330,52394
4,126,52578
4,330,52578
126,330,52578
4,128,52798
4,127,53004
126,128,53206
126,327,53206
128,327,53206
126,127,53402
126,129,53402
127,129,53402
127,327,53593
128,129,53796
68,80,54017
68,81,54017
80,81,54017
67,69,54202
67,80,54202
69,80,54202
69,81,54405
67,81,54608
10,67,54826
10,68,54826
67,68,54826
10,69,55014
68,69,55217
69,75,55435
69,285,55435
75,285,55435
67,285,55623
69,70,55826
69,71,55826
70,71,55826
67,70,56032
67,75,56032
70,75,56032
71,75,56232
70,72,56442
67,71,56649
67,73,56649
71,73,56649
67,72,56841
72,73,57044
71,72,57247
85,106,57466
85,260,57466
106,260,57466
86,88,57653
86,260,57653
88,260,57653
86,106,57872
88,106,58073
130,132,58285
130,133,58285
132,133,58285
56,100,58465
56,110,58465
100,110,58465
100,195,58668
56,194,58871
56,195,58871
194,195,58871
110,195,59074
110,194,59277
231,239,59480
231,246,59480
239,246,59480
246,257,59683
240,246,59886
236,246,60089
231,240,60292
239,240,60495
239,257,60698
236,239,60901
231,257,61104
210,212,61307
210,214,61307
212,214,61307
211,212,61510
210,211,61722
210,213,61722
211,213,61722
211,214,61924
211,215,61924
214,215,61924
210,215,62119
213,214,62322
236,237,62525
236,238,62525
237,238,62525
5,236,62728
231,236,62931
231,238,63134
231,237,63337
5,237,63540
5,238,63743
21,24,63946
21,232,63946
24,232,63946
232,268,64149
21,233,64360
21,268,64360
233,268,64360
24,233,64555
24,268,64758
23,24,64965
23,220,64965
24,220,64965
21,22,65170
21,23,65170
22,23,65170
22,24,65367
21,220,65570
43,275,65773
43,276,65773
275,276,65773
43,277,65976
42,276,66179
42,277,66179
276,277,66179
275,277,66382
42,275,66585
26,105,66788
26,107,66788
105,107,66788
106,107,66991
104,105,67194
104,106,67194
105,106,67194
26,104,67397
26,106,67600
131,132,67803
131,134,67803
132,134,67803
92,132,68006
92,133,68237
92,134,68237
133,134,68237
91,131,68413
91,133,68413
131,133,68413
92,130,68615
92,131,68615
130,131,68615
91,130,68818
91,134,68818
130,134,68818
42,241,69021
42,242,69021
241,242,69021
42,243,69224
42,244,69224
243,244,69224
41,241,69427
41,243,69427
241,243,69427
41,242,69632
41,244,69632
242,244,69632
242,243,69833
241,244,70036
83,85,70258
83,86,70258
85,86,70258
83,262,70445
83,263,70445
262,263,70445
86,262,70645
86,263,70850
85,88,71051
85,262,71051
88,262,71051
88,263,71254
85,263,71457
84,87,71660
84,88,71660
87,88,71660
88,89,71863
83,84,72066
83,89,72066
84,89,72066
83,87,72269
82,84,72474
82,85,72474
84,85,72474
84,86,72675
85,87,72878
85,89,72878
87,89,72878
82,86,73081
82,87,73081
86,87,73081
82,89,73284
86,89,73487
94,98,73690
94,99,73690
98,99,73690
352,353,73893
352,354,73893
353,354,73893
31,32,74108
31,33,74108
32,33,74108
32,34,74300
30,31,74502
30,34,74502
31,34,74502
33,34,74705
32,35,74910
32,219,74910
35,219,74910
32,36,75111
30,33,75314
30,219,75314
33,219,75314
33,35,75517
33,36,75517
35,36,75517
30,36,75720
30,35,75923
4,323,76132
4,324,76132
323,324,76132
16,45,76329
16,324,76329
45,324,76329
45,323,76532
16,323,76735
46,47,76948
46,177,76948
47,177,76948
70,119,77163
70,351,77163
119,351,77163
119,214,77347
119,349,77347
214,349,77347
119,348,77547
119,350,77750
70,214,77953
214,303,78156
214,351,78156
303,351,78156
303,348,78359
303,349,78359
348,349,78359
303,350,78562
70,348,78767
348,351,78968
70,349,79171
70,350,79171
349,350,79171
350,351,79374
349,351,79577
354,355,79780
354,356,79780
355,356,79780
135,354,79983
113,354,80186
113,352,80395
113,356,80395
352,356,80395
113,353,80592
113,355,80592
353,355,80592
135,352,80795
135,355,80795
352,355,80795
135,353,80998
135,356,80998
353,356,80998
93,97,81201
93,99,81201
97,99,81201
95,96,81404
95,99,81404
96,99,81404
93,95,81607
93,98,81607
95,98,81607
94,95,81810
93,94,82013
93,96,82013
94,96,82013
96,97,82217
96,98,82217
97,98,82217
94,97,82419
4,176,82622
4,177,82622
176,177,82622
4,45,82825
4,46,82825
45,46,82825
4,47,83028
15,16,83232
15,177,83232
16,177,83232
5,45,83434
5,177,83434
45,177,83434
16,46,83638
16,176,83638
46,176,83638
16,47,83840
5,15,84043
5,46,84043
15,46,84043
5,47,84246
5,176,84246
47,176,84246
15,45,84449
15,47,84449
45,47,84449
15,176,84652
45,176,84855
